freq (Hz),Signal 2 (Real),Signal 2 (Imag.),Signal 3 (Real),Signal 3 (Imag.),Signal 4 (Real),Signal 4 (Imag.)
0.000000000000E+00,4.898378E-01,0.000000E+00,2.767536E+00,0.000000E+00,-2.328742E+01,0.000000E+00
5.000000000000E-01,-4.671324E-02,-1.382644E-03,-4.516068E-03,2.966225E-03,-1.002015E-01,-1.488032E-01
1.000000000000E+00,-1.428615E-02,1.114095E-03,2.460434E-02,-5.747115E-03,-2.209460E-02,-1.553868E-01
1.500000000000E+00,-1.306913E-02,3.651160E-03,1.835479E-02,-4.713569E-03,-8.590301E-04,-9.105345E-02
2.000000000000E+00,2.222208E-02,-1.363371E-03,-7.565714E-03,-3.804628E-03,3.048371E-02,-2.310364E-02
2.500000000000E+00,8.627893E-03,-1.945899E-03,-6.186950E-03,2.619136E-03,1.049288E-01,4.734159E-02
3.000000000000E+00,6.691313E-03,1.029339E-03,-4.643374E-03,-8.938260E-04,6.063626E-02,1.182319E-02
3.500000000000E+00,-1.175737E-03,1.183784E-03,-3.698434E-03,-2.321306E-03,3.666444E-02,-8.841947E-03
4.000000000000E+00,-3.367333E-03,4.410113E-04,-4.445875E-03,-5.767400E-04,6.537179E-03,6.077484E-03
4.500000000000E+00,-3.557159E-03,7.976898E-04,-3.366957E-03,5.865121E-04,7.948402E-04,1.544143E-03
5.000000000000E+00,-4.258553E-03,4.202260E-04,-3.906769E-03,3.870609E-04,7.586839E-04,-6.893196E-04
5.500000000000E+00,-3.872296E-03,4.686438E-04,-5.925468E-03,6.628125E-04,-5.087953E-03,8.790164E-04
6.000000000000E+00,-4.396239E-03,-1.728239E-04,-6.400730E-03,2.787968E-04,-5.821214E-03,7.620893E-04
6.500000000000E+00,-5.519987E-03,-2.542571E-04,-7.143836E-03,-3.525132E-04,-7.350202E-03,-7.275402E-04
7.000000000000E+00,-6.176191E-03,-6.023365E-05,-8.201409E-03,3.247213E-05,-9.957478E-03,-1.094716E-03
7.500000000000E+00,-6.869807E-03,-2.420387E-04,-1.000853E-02,7.213156E-06,-9.380127E-03,4.890141E-03
8.000000000000E+00,-8.369436E-03,-4.016777E-04,-1.067333E-02,4.224487E-04,-1.076163E-02,4.924444E-03
8.500000000000E+00,-1.036271E-02,-1.184912E-04,-1.270120E-02,-1.863862E-04,-1.027343E-02,1.816048E-03
9.000000000000E+00,-1.214234E-02,9.723335E-04,-1.440340E-02,-5.372498E-05,-1.218038E-02,7.632876E-04
9.500000000000E+00,-1.294350E-02,9.212723E-04,-1.636159E-02,6.955121E-05,-1.487832E-02,-8.106774E-04
1.000000000000E+01,-1.468146E-02,9.527280E-04,-1.960406E-02,-5.692373E-04,-1.854817E-02,-1.720213E-03
1.050000000000E+01,-1.682615E-02,8.775886E-04,-2.193479E-02,-4.826580E-04,-2.263466E-02,-9.167877E-04
1.100000000000E+01,-1.890467E-02,-3.670984E-04,-2.518699E-02,8.024772E-06,-2.650636E-02,3.974091E-04
1.150000000000E+01,-2.103958E-02,-4.786248E-04,-2.824381E-02,1.903051E-04,-2.984672E-02,7.625103E-04
1.200000000000E+01,-2.234649E-02,5.804988E-04,-3.136339E-02,1.132472E-04,-3.355404E-02,-2.178778E-03
1.250000000000E+01,-2.710008E-02,4.915197E-04,-3.666037E-02,4.018017E-04,-4.051903E-02,-6.571672E-04
1.300000000000E+01,-2.927694E-02,5.540595E-05,-3.929430E-02,2.289892E-04,-4.324041E-02,1.939849E-03
1.350000000000E+01,-3.220924E-02,4.404583E-04,-4.392250E-02,-1.900261E-04,-4.764134E-02,8.164757E-04
1.400000000000E+01,-3.893019E-02,1.169337E-03,-5.208483E-02,6.246918E-04,-5.717451E-02,2.105509E-03
1.450000000000E+01,-4.180070E-02,6.193767E-04,-5.720408E-02,8.129713E-04,-6.492688E-02,1.873949E-03
1.500000000000E+01,-4.936750E-02,1.383377E-03,-6.711569E-02,9.204981E-04,-7.661595E-02,1.704361E-03
1.550000000000E+01,-5.691459E-02,1.192851E-03,-7.902826E-02,5.245322E-04,-8.882973E-02,1.305084E-03
1.600000000000E+01,-6.229297E-02,1.136728E-03,-8.758937E-02,1.407620E-03,-9.810435E-02,1.516670E-03
1.650000000000E+01,-7.271738E-02,1.538556E-03,-1.026785E-01,2.243966E-03,-1.153985E-01,2.341848E-03
1.700000000000E+01,-8.639508E-02,2.410497E-03,-1.247496E-01,2.879222E-03,-1.405444E-01,3.534877E-03
1.750000000000E+01,-9.780673E-02,2.180535E-03,-1.425400E-01,3.394372E-03,-1.587364E-01,3.215613E-03
1.800000000000E+01,-1.175208E-01,2.345303E-03,-1.725790E-01,3.863301E-03,-1.942160E-01,4.808708E-03
1.850000000000E+01,-1.534282E-01,3.843614E-03,-2.288176E-01,6.938600E-03,-2.609684E-01,9.675101E-03
1.900000000000E+01,-1.912835E-01,8.754181E-03,-2.882557E-01,1.519611E-02,-3.312524E-01,1.824347E-02
1.950000000000E+01,-2.472868E-01,1.082664E-02,-3.760265E-01,1.794055E-02,-4.366079E-01,2.088521E-02
2.000000000000E+01,-4.229858E-01,3.124788E-02,-6.575234E-01,4.823810E-02,-7.689962E-01,5.741109E-02
2.050000000000E+01,-6.613644E-01,1.087294E-01,-1.037185E+00,1.712995E-01,-1.217295E+00,2.029064E-01
2.100000000000E+01,3.077577E-01,4.168380E-01,5.137889E-01,6.666200E-01,6.182321E-01,7.877713E-01
2.150000000000E+01,7.426175E-01,1.247030E-01,1.210140E+00,2.009648E-01,1.441365E+00,2.364141E-01
2.200000000000E+01,4.834773E-01,4.379821E-02,7.963603E-01,6.970349E-02,9.536805E-01,8.259092E-02
2.250000000000E+01,3.256970E-01,2.045596E-02,5.449178E-01,3.203974E-02,6.579120E-01,3.832693E-02
2.300000000000E+01,2.266530E-01,1.054596E-02,3.892305E-01,1.634630E-02,4.740378E-01,1.866828E-02
2.350000000000E+01,1.846617E-01,5.990589E-03,3.231478E-01,8.888758E-03,3.966085E-01,9.969597E-03
2.400000000000E+01,1.548561E-01,3.452648E-03,2.769386E-01,3.991263E-03,3.419637E-01,4.613881E-03
2.450000000000E+01,1.352588E-01,2.239585E-03,2.464900E-01,2.410908E-03,3.065824E-01,2.676758E-03
2.500000000000E+01,1.194413E-01,1.752660E-03,2.229276E-01,1.915425E-03,2.785411E-01,2.278131E-03
2.550000000000E+01,1.050329E-01,1.099613E-03,2.000628E-01,2.060183E-03,2.533263E-01,2.562473E-03
2.600000000000E+01,9.615503E-02,1.274611E-03,1.868462E-01,2.021276E-03,2.383902E-01,2.626283E-03
2.650000000000E+01,8.638888E-02,1.092424E-03,1.736443E-01,1.819334E-03,2.229532E-01,2.321569E-03
2.700000000000E+01,7.935943E-02,6.034561E-04,1.634441E-01,1.524882E-03,2.121539E-01,1.374564E-03
2.750000000000E+01,7.107867E-02,1.029454E-03,1.514558E-01,6.954239E-04,1.995834E-01,1.980529E-04
2.800000000000E+01,6.553888E-02,8.081532E-04,1.446896E-01,1.321606E-03,1.919171E-01,1.472318E-03
2.850000000000E+01,6.106640E-02,8.894904E-04,1.399668E-01,2.812755E-03,1.862825E-01,2.546486E-03
2.900000000000E+01,5.529249E-02,1.003107E-03,1.334523E-01,2.102845E-03,1.804067E-01,2.361450E-03
2.950000000000E+01,5.182415E-02,8.036798E-04,1.289188E-01,1.368550E-03,1.758148E-01,1.933461E-03
3.000000000000E+01,4.781969E-02,4.136848E-04,1.255835E-01,9.023544E-04,1.727034E-01,1.123661E-03
3.050000000000E+01,4.324459E-02,4.406099E-04,1.206825E-01,7.892490E-04,1.681281E-01,8.048099E-04
3.100000000000E+01,4.117256E-02,5.470851E-04,1.171957E-01,1.134514E-03,1.651739E-01,5.924918E-04
3.150000000000E+01,3.810153E-02,6.551095E-04,1.139079E-01,1.165808E-03,1.616362E-01,2.312697E-04
3.200000000000E+01,3.473968E-02,7.611153E-04,1.100643E-01,2.272166E-03,1.582540E-01,2.486658E-03
3.250000000000E+01,3.125818E-02,9.626327E-04,1.072017E-01,3.127040E-03,1.554647E-01,3.828733E-03
3.300000000000E+01,2.881369E-02,9.002808E-04,1.073115E-01,1.737683E-03,1.572992E-01,2.817819E-03
3.350000000000E+01,2.727175E-02,1.083446E-03,1.067156E-01,8.691772E-04,1.588357E-01,1.619010E-03
3.400000000000E+01,2.388538E-02,1.316131E-03,1.043176E-01,-1.593243E-04,1.575292E-01,1.328669E-03
3.450000000000E+01,2.049660E-02,9.827558E-04,1.012886E-01,5.415418E-05,1.542452E-01,2.323033E-04
3.500000000000E+01,1.885290E-02,6.496146E-04,9.991170E-02,8.471539E-05,1.535430E-01,-2.222186E-04
3.550000000000E+01,1.581859E-02,8.069832E-04,9.798435E-02,-5.489725E-04,1.533809E-01,-9.548696E-04
3.600000000000E+01,1.348436E-02,1.995801E-04,9.675732E-02,-3.181989E-04,1.527119E-01,-1.741227E-03
3.650000000000E+01,1.043313E-02,4.487585E-04,9.445459E-02,-4.129178E-04,1.521597E-01,-1.726412E-03
3.700000000000E+01,8.538081E-03,7.641707E-04,9.349220E-02,-8.710808E-04,1.518908E-01,-1.199928E-03
3.750000000000E+01,5.434689E-03,8.254030E-04,9.254712E-02,-4.709742E-04,1.516775E-01,-1.225451E-03
3.800000000000E+01,2.784280E-03,9.654753E-04,9.127651E-02,-5.256866E-04,1.526263E-01,-1.742479E-03
3.850000000000E+01,8.837349E-04,8.115300E-04,9.013670E-02,-7.542611E-04,1.525769E-01,-1.502085E-03
3.900000000000E+01,-1.629417E-03,6.135579E-04,8.878096E-02,-5.214069E-04,1.533063E-01,-1.016404E-03
3.950000000000E+01,-4.460461E-03,2.691215E-04,8.828529E-02,-7.774483E-04,1.547485E-01,-1.337198E-03
4.000000000000E+01,-6.977774E-03,3.837797E-04,8.687200E-02,-1.214042E-03,1.546087E-01,-2.047211E-03
4.050000000000E+01,-1.004679E-02,6.934851E-04,8.562244E-02,-1.269958E-03,1.547437E-01,-1.758947E-03
4.100000000000E+01,-1.319471E-02,1.098164E-03,8.437128E-02,-7.225509E-04,1.556389E-01,-1.134050E-03
4.150000000000E+01,-1.549538E-02,1.220896E-03,8.381785E-02,-3.710270E-04,1.571963E-01,-1.201100E-03
4.200000000000E+01,-1.801236E-02,9.084944E-04,8.318861E-02,-4.248497E-04,1.587303E-01,-2.054809E-03
4.250000000000E+01,-2.108882E-02,1.215032E-03,8.238217E-02,-8.385669E-04,1.594036E-01,-3.219857E-03
4.300000000000E+01,-2.517288E-02,1.359097E-03,8.172265E-02,-8.114976E-04,1.618276E-01,-2.511233E-03
4.350000000000E+01,-2.699380E-02,1.129549E-03,8.111057E-02,-9.637571E-04,1.626585E-01,-1.507822E-03
4.400000000000E+01,-3.012184E-02,1.063599E-03,8.005417E-02,-1.043233E-03,1.640831E-01,-2.549394E-03
4.450000000000E+01,-3.314771E-02,1.438468E-03,7.906099E-02,-1.509004E-03,1.651121E-01,-3.121347E-03
4.500000000000E+01,-3.650774E-02,2.017783E-03,7.812657E-02,-1.253209E-03,1.676645E-01,-3.253273E-03
4.550000000000E+01,-3.990780E-02,1.738149E-03,7.736562E-02,-1.827001E-03,1.699258E-01,-3.578258E-03
4.600000000000E+01,-4.258889E-02,1.710229E-03,7.732918E-02,-2.140346E-03,1.709192E-01,-4.350192E-03
4.650000000000E+01,-4.695413E-02,1.528155E-03,7.616348E-02,-1.072332E-03,1.725697E-01,-3.778019E-03
4.700000000000E+01,-5.131359E-02,2.387768E-03,7.518234E-02,-1.935137E-03,1.753003E-01,-4.335941E-03
4.750000000000E+01,-5.374186E-02,2.856630E-03,7.470459E-02,-2.344023E-03,1.776692E-01,-4.494844E-03
4.800000000000E+01,-5.806927E-02,2.992270E-03,7.436229E-02,-1.876521E-03,1.798284E-01,-4.781122E-03
4.850000000000E+01,-6.315266E-02,3.716796E-03,7.311105E-02,-2.257399E-03,1.839427E-01,-6.014081E-03
4.900000000000E+01,-6.489599E-02,3.836007E-03,7.286114E-02,-2.386103E-03,1.856380E-01,-6.279557E-03
4.950000000000E+01,-6.969685E-02,4.404583E-03,7.218324E-02,-2.493744E-03,1.881129E-01,-7.445766E-03
5.000000000000E+01,-7.407904E-02,5.335912E-03,7.140215E-02,-2.832380E-03,1.902121E-01,-8.098830E-03
5.050000000000E+01,-7.831004E-02,5.441760E-03,7.039258E-02,-3.216085E-03,1.936129E-01,-9.121714E-03
5.100000000000E+01,-8.310169E-02,6.430420E-03,6.918041E-02,-3.867927E-03,1.977740E-01,-1.079225E-02
5.150000000000E+01,-8.656314E-02,6.277259E-03,6.754439E-02,-4.205510E-03,1.998699E-01,-1.076516E-02
5.200000000000E+01,-9.019901E-02,6.796652E-03,6.579884E-02,-3.626652E-03,2.014359E-01,-1.083685E-02
5.250000000000E+01,-9.539724E-02,7.372929E-03,6.459305E-02,-3.455164E-03,2.040385E-01,-1.126949E-02
5.300000000000E+01,-1.001756E-01,7.593920E-03,6.323657E-02,-3.621916E-03,2.073251E-01,-1.164611E-02
5.350000000000E+01,-1.041174E-01,7.549751E-03,6.233799E-02,-3.203841E-03,2.101768E-01,-1.032531E-02
5.400000000000E+01,-1.095708E-01,7.445837E-03,6.122966E-02,-2.886284E-03,2.142924E-01,-9.179397E-03
5.450000000000E+01,-1.154183E-01,7.085043E-03,6.031980E-02,-2.391289E-03,2.189433E-01,-8.544198E-03
5.500000000000E+01,-1.214277E-01,6.771545E-03,5.951570E-02,-2.022352E-03,2.235599E-01,-7.892114E-03
5.550000000000E+01,-1.262306E-01,7.445826E-03,5.850467E-02,-1.992899E-03,2.271954E-01,-8.032775E-03
5.600000000000E+01,-1.348374E-01,7.101639E-03,5.741913E-02,-1.848731E-03,2.338236E-01,-8.519249E-03
5.650000000000E+01,-1.438714E-01,7.142017E-03,5.628708E-02,-1.662319E-03,2.419612E-01,-8.595608E-03
5.700000000000E+01,-1.491324E-01,7.316997E-03,5.542513E-02,-1.152961E-03,2.464460E-01,-7.666195E-03
5.750000000000E+01,-1.566823E-01,6.800340E-03,5.449661E-02,-1.144206E-03,2.528849E-01,-6.989454E-03
5.800000000000E+01,-1.647616E-01,7.646253E-03,5.372944E-02,-1.133183E-03,2.600784E-01,-6.984619E-03
5.850000000000E+01,-1.744311E-01,8.276159E-03,5.250183E-02,-9.634773E-04,2.679667E-01,-7.216691E-03
5.900000000000E+01,-1.830684E-01,8.019155E-03,5.096541E-02,-5.916758E-04,2.748359E-01,-7.458975E-03
5.950000000000E+01,-1.904574E-01,8.352607E-03,4.989101E-02,-6.366517E-06,2.823052E-01,-7.504773E-03
6.000000000000E+01,-2.035811E-01,1.013482E-02,4.773694E-02,-3.105749E-04,2.933914E-01,-8.491642E-03
6.050000000000E+01,-2.150611E-01,1.058155E-02,4.666980E-02,-9.513288E-04,3.036968E-01,-9.952387E-03
6.100000000000E+01,-2.260376E-01,1.103863E-02,4.538996E-02,-8.401625E-04,3.133294E-01,-1.130155E-02
6.150000000000E+01,-2.391161E-01,1.285623E-02,4.373390E-02,-5.480197E-04,3.254366E-01,-1.291585E-02
6.200000000000E+01,-2.507536E-01,1.723357E-02,4.174465E-02,-8.244595E-04,3.353415E-01,-1.715160E-02
6.250000000000E+01,-2.604980E-01,2.021030E-02,3.880135E-02,-9.235768E-04,3.429856E-01,-2.022643E-02
6.300000000000E+01,-2.722432E-01,1.610891E-02,3.632631E-02,-6.420484E-05,3.534796E-01,-1.508388E-02
6.350000000000E+01,-2.899346E-01,1.377599E-02,3.489045E-02,7.854708E-04,3.699709E-01,-1.194571E-02
6.400000000000E+01,-3.084944E-01,1.490594E-02,3.246819E-02,5.514143E-04,3.877746E-01,-1.260624E-02
6.450000000000E+01,-3.314312E-01,1.707384E-02,2.874125E-02,3.448579E-04,4.088171E-01,-1.482278E-02
6.500000000000E+01,-3.510458E-01,1.858209E-02,2.579209E-02,3.284945E-04,4.262938E-01,-1.651041E-02
6.550000000000E+01,-3.702196E-01,2.152982E-02,2.321670E-02,7.566448E-04,4.442957E-01,-1.963575E-02
6.600000000000E+01,-3.933919E-01,2.646003E-02,1.970484E-02,1.331337E-03,4.655017E-01,-2.442068E-02
6.650000000000E+01,-4.244204E-01,3.324293E-02,1.524110E-02,1.936449E-03,4.946985E-01,-3.049096E-02
6.700000000000E+01,-4.482130E-01,4.784778E-02,1.098296E-02,2.071207E-03,5.158614E-01,-4.549285E-02
6.750000000000E+01,-4.590816E-01,4.587738E-02,7.260160E-03,1.459261E-03,5.257389E-01,-4.338431E-02
6.800000000000E+01,-5.036787E-01,4.012853E-02,-2.475474E-04,2.230147E-03,5.678535E-01,-3.725682E-02
6.850000000000E+01,-5.418555E-01,4.095516E-02,-6.261244E-03,2.270191E-03,6.036198E-01,-3.876804E-02
6.900000000000E+01,-5.679027E-01,4.248340E-02,-1.082210E-02,2.730150E-03,6.281621E-01,-4.010552E-02
6.950000000000E+01,-6.376157E-01,4.800435E-02,-2.238658E-02,3.554362E-03,6.926621E-01,-4.533593E-02
7.000000000000E+01,-6.794720E-01,5.255052E-02,-2.939637E-02,4.308148E-03,7.321047E-01,-4.991693E-02
