passo,Signal 1,Signal 2,Signal 3,Signal 4
unidade,(N)^2,(m/s^2)^2,(m/s^2)^2,(m/s^2)^2
0.000000000000E+00,7.394935E-06,3.731232E-06,2.537635E-05,5.943938E-04
5.000000000000E-01,2.446971E-04,2.208876E-06,1.799370E-05,3.914895E-04
1.000000000000E+00,1.067770E-03,1.455949E-07,4.709471E-07,5.583491E-05
1.500000000000E+00,2.898969E-04,7.293523E-08,7.656494E-08,1.844495E-05
2.000000000000E+00,7.358307E-07,4.577601E-08,5.106083E-08,5.806114E-06
2.500000000000E+00,2.786662E-07,3.451468E-08,3.086480E-08,4.342186E-06
3.000000000000E+00,2.792936E-07,3.533172E-08,2.162511E-08,2.598655E-06
3.500000000000E+00,6.072706E-06,3.751733E-08,1.284852E-08,2.063124E-06
4.000000000000E+00,3.376316E-05,3.145766E-08,7.460656E-09,1.302751E-06
4.500000000000E+00,1.184672E-05,1.791782E-08,7.154744E-09,6.252008E-07
5.000000000000E+00,8.581004E-06,1.681148E-08,8.801980E-09,4.666158E-07
5.500000000000E+00,4.218029E-05,1.708294E-08,9.945198E-09,3.869565E-07
6.000000000000E+00,1.633376E-05,9.535854E-09,1.433894E-08,3.754110E-07
6.500000000000E+00,1.045038E-07,1.038907E-08,1.127976E-08,2.985570E-07
7.000000000000E+00,2.130638E-08,9.180065E-09,5.351914E-09,3.275651E-07
7.500000000000E+00,1.263031E-08,9.241761E-09,8.558381E-09,1.660730E-07
8.000000000000E+00,2.499055E-08,9.001625E-09,8.143732E-09,1.160733E-07
8.500000000000E+00,2.565985E-08,6.864616E-09,4.575294E-09,1.401812E-07
9.000000000000E+00,1.874941E-08,7.931077E-09,5.483982E-09,1.042958E-07
9.500000000000E+00,1.525194E-08,9.881218E-09,6.311430E-09,7.541311E-08
1.000000000000E+01,9.534790E-09,8.724883E-09,8.712486E-09,9.350044E-08
1.050000000000E+01,8.678775E-09,1.026390E-08,8.792678E-09,1.519734E-07
1.100000000000E+01,8.112655E-09,5.919386E-09,5.797315E-09,1.323480E-07
1.150000000000E+01,1.089838E-08,5.477148E-09,7.592060E-09,1.112886E-07
1.200000000000E+01,9.560416E-09,1.027866E-08,8.831587E-09,8.476810E-08
1.250000000000E+01,5.508662E-09,6.675702E-09,7.365420E-09,6.789454E-08
1.300000000000E+01,7.724349E-09,6.619406E-09,4.601204E-09,7.398752E-08
1.350000000000E+01,6.014793E-09,5.209313E-09,6.265432E-09,5.184462E-08
1.400000000000E+01,5.429240E-09,4.999161E-09,7.445890E-09,4.309821E-08
1.450000000000E+01,7.973112E-09,7.424528E-09,9.302666E-09,3.963280E-08
1.500000000000E+01,5.570820E-09,9.037744E-09,7.357872E-09,2.816435E-08
1.550000000000E+01,4.519909E-09,5.022434E-09,5.823473E-09,2.208376E-08
1.600000000000E+01,3.916341E-09,4.157509E-09,4.194703E-09,2.471146E-08
1.650000000000E+01,4.295814E-09,7.334676E-09,5.678682E-09,1.847776E-08
1.700000000000E+01,4.102537E-09,4.841267E-09,6.605112E-09,1.725923E-08
1.750000000000E+01,2.219689E-09,4.678699E-09,5.010315E-09,1.750779E-08
1.800000000000E+01,2.249686E-09,5.944866E-09,3.968303E-09,1.971247E-08
1.850000000000E+01,3.574736E-09,9.306437E-09,3.345244E-09,2.280623E-08
1.900000000000E+01,4.378209E-09,6.431188E-09,4.416380E-09,2.074570E-08
1.950000000000E+01,2.810968E-09,4.251798E-09,5.422604E-09,1.630784E-08
2.000000000000E+01,6.569674E-09,7.122800E-09,1.324479E-08,2.986027E-08
2.050000000000E+01,7.270762E-09,7.451978E-09,1.630138E-08,2.829369E-08
2.100000000000E+01,1.932460E-08,2.242923E-08,5.688608E-08,7.699256E-08
2.150000000000E+01,2.750368E-08,3.790480E-08,7.347586E-08,1.037510E-07
2.200000000000E+01,9.634552E-09,1.059368E-08,1.708631E-08,4.463058E-08
2.250000000000E+01,4.808407E-09,5.202585E-09,1.506611E-08,2.578459E-08
2.300000000000E+01,4.162616E-09,6.479119E-09,2.192215E-08,2.161689E-08
2.350000000000E+01,4.646810E-09,5.659276E-09,1.340036E-08,1.810618E-08
2.400000000000E+01,4.181028E-09,6.230562E-09,6.846631E-09,1.885797E-08
2.450000000000E+01,4.693546E-09,4.616966E-09,5.461244E-09,1.519834E-08
2.500000000000E+01,5.430476E-09,3.527591E-09,3.094133E-09,8.586478E-09
2.550000000000E+01,3.321441E-09,2.382355E-09,2.913290E-09,8.737934E-09
2.600000000000E+01,4.169982E-09,2.102416E-09,2.390495E-09,8.992113E-09
2.650000000000E+01,2.704613E-09,3.309281E-09,2.188063E-09,1.057153E-08
2.700000000000E+01,3.144294E-09,3.571645E-09,4.248548E-09,1.234524E-08
2.750000000000E+01,3.815668E-09,3.852878E-09,3.774399E-09,1.293417E-08
2.800000000000E+01,3.420781E-09,3.412799E-09,3.596283E-09,1.470320E-08
2.850000000000E+01,4.193973E-09,3.268838E-09,4.483730E-09,1.289358E-08
2.900000000000E+01,2.647562E-09,3.499439E-09,3.520341E-09,1.220680E-08
2.950000000000E+01,2.241151E-09,2.824545E-09,3.193128E-09,8.722936E-09
3.000000000000E+01,2.600619E-09,3.886541E-09,3.774447E-09,8.085453E-09
3.050000000000E+01,3.380703E-09,3.355150E-09,3.294286E-09,6.293470E-09
3.100000000000E+01,2.721328E-09,2.222764E-09,2.609091E-09,4.930196E-09
3.150000000000E+01,3.172475E-09,2.954088E-09,2.465742E-09,6.325222E-09
3.200000000000E+01,2.254082E-09,3.029264E-09,4.983490E-09,1.100043E-08
3.250000000000E+01,2.359685E-09,2.132448E-09,5.446941E-09,1.310933E-08
3.300000000000E+01,3.410294E-09,2.541117E-09,3.413514E-09,1.213512E-08
3.350000000000E+01,3.456111E-09,2.094378E-09,2.820946E-09,1.083649E-08
3.400000000000E+01,2.651602E-09,2.527224E-09,2.439839E-09,9.115491E-09
3.450000000000E+01,4.882964E-09,2.242112E-09,2.108069E-09,8.405785E-09
3.500000000000E+01,5.024957E-09,2.562991E-09,1.916901E-09,7.430017E-09
3.550000000000E+01,4.299736E-09,3.689285E-09,2.399344E-09,6.668931E-09
3.600000000000E+01,5.139917E-09,4.267317E-09,2.032724E-09,6.304793E-09
3.650000000000E+01,3.323870E-09,3.498221E-09,1.941481E-09,6.873548E-09
3.700000000000E+01,4.118195E-09,2.522619E-09,1.253410E-09,7.127214E-09
3.750000000000E+01,6.047810E-09,1.433271E-09,1.871482E-09,7.240701E-09
3.800000000000E+01,4.277634E-09,2.188425E-09,1.873293E-09,7.094321E-09
3.850000000000E+01,4.331309E-09,3.079949E-09,1.600921E-09,6.171563E-09
3.900000000000E+01,6.972235E-09,2.010304E-09,2.048470E-09,7.036625E-09
3.950000000000E+01,7.456856E-09,1.708130E-09,2.513706E-09,8.046471E-09
4.000000000000E+01,1.833130E-08,1.823316E-09,4.863563E-09,7.820529E-09
4.050000000000E+01,3.884453E-08,2.091311E-09,6.626249E-09,7.056657E-09
4.100000000000E+01,7.402870E-08,2.969979E-09,3.271304E-09,1.005978E-08
